@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L1-5-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L1-3-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2,3,4}
@attribute outputs-2 {0,1,2}
@attribute outputs-3 {0,1,2}

@data
193,'2019/10/29 11:03:16:390',13,0,0,29,21,0,?,2,?
194,'2019/10/29 11:03:17:557',14,0,0,30,8,0,?,2,?
195,'2019/10/29 11:03:17:572',14,0,0,30,9,0,?,2,?
196,'2019/10/29 11:03:17:589',14,0,0,30,9,0,?,2,?
197,'2019/10/29 11:03:17:605',14,0,0,30,9,0,?,2,?
198,'2019/10/29 11:03:17:623',14,0,0,30,9,0,?,2,?
199,'2019/10/29 11:03:17:639',14,0,0,30,9,0,?,2,?
200,'2019/10/29 11:03:17:656',14,0,0,28,9,0,?,2,?
201,'2019/10/29 11:03:17:672',14,0,0,28,9,0,?,2,?
202,'2019/10/29 11:03:17:689',14,0,0,28,9,0,?,2,?
203,'2019/10/29 11:03:17:705',14,0,0,28,9,0,?,2,?
204,'2019/10/29 11:03:17:722',14,0,0,26,10,0,?,2,?
205,'2019/10/29 11:03:17:739',14,0,0,26,10,0,?,2,?
206,'2019/10/29 11:03:17:756',14,0,0,25,10,0,?,2,?
207,'2019/10/29 11:03:17:772',14,0,0,25,10,0,?,2,?
208,'2019/10/29 11:03:17:789',14,0,0,25,12,0,?,2,?
209,'2019/10/29 11:03:17:805',14,0,0,25,12,0,?,2,?
210,'2019/10/29 11:03:17:822',14,0,0,23,12,0,?,2,?
211,'2019/10/29 11:03:17:839',14,0,0,23,12,0,?,2,?
212,'2019/10/29 11:03:17:857',14,0,0,23,13,0,?,2,?
213,'2019/10/29 11:03:17:873',14,0,0,23,13,0,?,2,?
214,'2019/10/29 11:03:17:889',14,0,0,23,15,0,?,2,?
215,'2019/10/29 11:03:17:906',14,0,0,23,15,0,?,2,?
216,'2019/10/29 11:03:17:922',14,0,0,21,17,0,?,2,?
217,'2019/10/29 11:03:17:939',14,0,0,21,17,0,?,2,?
218,'2019/10/29 11:03:17:956',14,0,0,21,20,0,?,2,?
219,'2019/10/29 11:03:17:972',14,0,0,21,20,0,?,2,?
220,'2019/10/29 11:03:17:989',14,0,0,21,22,0,?,2,?
221,'2019/10/29 11:03:18:005',14,0,0,21,22,0,?,2,?
222,'2019/10/29 11:03:18:022',14,0,0,22,24,0,?,2,?
223,'2019/10/29 11:03:18:039',14,0,0,22,24,0,?,2,?
224,'2019/10/29 11:03:18:056',14,0,0,23,31,0,?,2,?
225,'2019/10/29 11:03:18:072',14,0,0,23,31,0,?,2,?
226,'2019/10/29 11:03:18:089',14,0,0,25,34,0,?,2,?
227,'2019/10/29 11:03:18:106',14,0,0,25,34,0,?,2,?
228,'2019/10/29 11:03:18:122',14,0,0,26,39,0,?,2,?
229,'2019/10/29 11:03:18:138',14,0,0,26,39,0,?,2,?
230,'2019/10/29 11:03:18:156',14,0,0,26,41,0,?,2,?
231,'2019/10/29 11:03:18:172',14,0,0,26,41,0,?,2,?
232,'2019/10/29 11:03:18:189',14,0,0,26,44,0,?,2,?
233,'2019/10/29 11:03:18:205',14,0,0,26,44,0,?,2,?
234,'2019/10/29 11:03:18:223',14,0,0,26,46,0,?,2,?
235,'2019/10/29 11:03:18:239',14,0,0,26,46,0,?,2,?
236,'2019/10/29 11:03:18:891',15,0,0,8,26,0,?,2,?
237,'2019/10/29 11:03:18:907',15,0,0,8,26,0,?,2,?
238,'2019/10/29 11:03:18:924',15,0,0,5,20,0,?,2,?
239,'2019/10/29 11:03:18:939',15,0,0,5,20,0,?,2,?
240,'2019/10/29 11:03:18:955',15,0,0,5,19,0,?,2,?
241,'2019/10/29 11:03:18:972',15,0,0,5,19,0,?,2,?
242,'2019/10/29 11:03:18:989',15,0,0,4,17,0,?,2,?
243,'2019/10/29 11:03:19:005',15,0,0,4,17,0,?,2,?
244,'2019/10/29 11:03:19:022',15,0,0,5,13,0,?,2,?
245,'2019/10/29 11:03:19:038',15,0,0,5,13,0,?,2,?
246,'2019/10/29 11:03:19:056',15,0,0,5,13,0,?,2,?
247,'2019/10/29 11:03:19:072',15,0,0,6,13,0,?,2,?
248,'2019/10/29 11:03:19:088',15,0,0,6,13,0,?,2,?
249,'2019/10/29 11:03:19:105',15,0,0,7,12,0,?,2,?
250,'2019/10/29 11:03:19:121',15,0,0,7,12,0,?,2,?
251,'2019/10/29 11:03:19:139',15,0,0,7,12,0,?,2,?
252,'2019/10/29 11:03:19:155',15,0,0,7,12,0,?,2,?
253,'2019/10/29 11:03:19:173',15,0,0,10,12,0,?,2,?
254,'2019/10/29 11:03:19:188',15,0,0,10,12,0,?,2,?
255,'2019/10/29 11:03:19:205',15,0,0,11,13,0,?,2,?
256,'2019/10/29 11:03:19:222',15,0,0,13,14,0,?,2,?
257,'2019/10/29 11:03:19:238',15,0,0,13,14,0,?,2,?
258,'2019/10/29 11:03:19:256',15,0,0,16,16,0,?,2,?
259,'2019/10/29 11:03:19:272',15,0,0,16,16,0,?,2,?
260,'2019/10/29 11:03:19:288',15,0,0,19,18,0,?,2,?
261,'2019/10/29 11:03:19:305',15,0,0,19,18,0,?,2,?
262,'2019/10/29 11:03:19:322',15,0,0,21,19,0,?,2,?
263,'2019/10/29 11:03:19:337',15,0,0,21,19,0,?,2,?
264,'2019/10/29 11:03:19:355',15,0,0,24,22,0,?,2,?
265,'2019/10/29 11:03:19:371',15,0,0,24,22,0,?,2,?
266,'2019/10/29 11:03:19:389',15,0,0,26,23,0,?,2,?
267,'2019/10/29 11:03:19:404',15,0,0,26,23,0,?,2,?
268,'2019/10/29 11:03:19:422',15,0,0,26,23,0,?,2,?
269,'2019/10/29 11:03:19:438',15,0,0,29,24,0,?,2,?
270,'2019/10/29 11:03:19:457',15,0,0,29,24,0,?,2,?
271,'2019/10/29 11:03:19:472',15,0,0,31,27,0,?,2,?
272,'2019/10/29 11:03:19:488',15,0,0,31,27,0,?,2,?
273,'2019/10/29 11:03:19:505',15,0,0,32,28,0,?,2,?
274,'2019/10/29 11:05:39:893',16,0,0,633,5,0,?,?,?
275,'2019/10/29 11:05:39:909',16,0,0,633,5,0,?,?,?
276,'2019/10/29 11:05:39:926',16,0,0,634,5,0,?,?,?
277,'2019/10/29 11:05:39:943',16,0,0,634,5,0,?,?,?
278,'2019/10/29 11:05:39:960',16,0,0,633,5,0,?,?,?
279,'2019/10/29 11:05:39:976',16,0,0,633,5,0,?,?,?
280,'2019/10/29 11:05:39:993',16,0,0,633,5,0,?,?,?
281,'2019/10/29 11:05:40:009',16,0,0,633,5,0,?,?,?
282,'2019/10/29 11:05:40:026',16,0,0,633,4,0,?,?,?
283,'2019/10/29 11:05:40:042',16,0,0,633,4,0,?,?,?
284,'2019/10/29 11:05:40:059',16,0,0,633,5,0,?,?,?
285,'2019/10/29 11:05:40:076',16,0,0,633,5,0,?,?,?
286,'2019/10/29 11:05:40:093',16,0,0,633,4,0,?,?,?
287,'2019/10/29 11:05:40:109',16,0,0,633,4,0,?,?,?
288,'2019/10/29 11:05:40:126',16,0,0,633,3,0,?,?,?
289,'2019/10/29 11:05:40:143',16,0,0,633,3,0,?,?,?
290,'2019/10/29 11:06:06:098',17,0,0,0,0,0,?,?,?
291,'2019/10/29 11:06:06:114',17,0,0,0,0,0,?,?,?
292,'2019/10/29 11:06:06:131',17,0,0,0,0,0,?,?,?
293,'2019/10/29 11:06:06:148',17,0,0,0,0,0,?,?,?
294,'2019/10/29 11:06:06:164',17,0,0,0,0,0,?,?,?
295,'2019/10/29 11:06:06:181',17,0,0,0,0,0,?,?,?
296,'2019/10/29 11:06:06:198',17,0,0,0,0,0,?,?,?
297,'2019/10/29 11:06:06:214',17,0,0,0,0,0,?,?,?
298,'2019/10/29 11:06:06:231',17,0,0,0,0,0,?,?,?
299,'2019/10/29 11:06:06:248',17,0,0,0,0,0,?,?,?
300,'2019/10/29 11:06:06:264',17,0,0,0,0,0,?,?,?
301,'2019/10/29 11:06:06:281',17,0,0,0,0,0,?,?,?
302,'2019/10/29 11:06:06:298',17,0,0,0,0,0,?,?,?
303,'2019/10/29 11:06:06:315',17,0,0,0,0,0,?,?,?
304,'2019/10/29 11:06:06:331',17,0,0,0,0,0,?,?,?
305,'2019/10/29 11:06:06:348',17,0,0,0,0,0,?,?,?
306,'2019/10/29 11:06:06:364',17,0,0,0,0,0,?,?,?
307,'2019/10/29 11:06:17:826',18,0,0,633,473,0,?,?,?
308,'2019/10/29 11:06:17:843',18,0,0,633,473,0,?,?,?
309,'2019/10/29 11:06:17:860',18,0,0,633,473,0,?,?,?
310,'2019/10/29 11:06:17:876',18,0,0,633,473,0,?,?,?
311,'2019/10/29 11:06:17:893',18,0,0,633,473,0,?,?,?
312,'2019/10/29 11:06:17:910',18,0,0,633,473,0,?,?,?
313,'2019/10/29 11:06:17:926',18,0,0,633,473,0,?,?,?
314,'2019/10/29 11:06:17:942',18,0,0,633,473,0,?,?,?
315,'2019/10/29 11:06:17:959',18,0,0,632,473,0,?,?,?
316,'2019/10/29 11:06:17:976',18,0,0,632,473,0,?,?,?
317,'2019/10/29 11:06:17:993',18,0,0,633,473,0,?,?,?
318,'2019/10/29 11:06:18:009',18,0,0,633,473,0,?,?,?
319,'2019/10/29 11:06:18:026',18,0,0,633,474,0,?,?,?
320,'2019/10/29 11:06:18:042',18,0,0,633,474,0,?,?,?
321,'2019/10/29 11:06:18:059',18,0,0,633,475,0,?,?,?
322,'2019/10/29 11:06:31:086',19,0,0,12,469,0,?,?,?
323,'2019/10/29 11:06:31:103',19,0,0,12,469,0,?,?,?
324,'2019/10/29 11:06:31:121',19,0,0,12,469,0,?,?,?
325,'2019/10/29 11:06:31:137',19,0,0,11,469,0,?,?,?
326,'2019/10/29 11:06:31:153',19,0,0,11,469,0,?,?,?
327,'2019/10/29 11:06:31:170',19,0,0,10,469,0,?,?,?
328,'2019/10/29 11:06:31:186',19,0,0,10,469,0,?,?,?
329,'2019/10/29 11:06:31:203',19,0,0,11,469,0,?,?,?
330,'2019/10/29 11:06:31:220',19,0,0,11,469,0,?,?,?
331,'2019/10/29 11:06:31:237',19,0,0,11,469,0,?,?,?
332,'2019/10/29 11:06:31:253',19,0,0,11,469,0,?,?,?
333,'2019/10/29 11:06:31:270',19,0,0,11,469,0,?,?,?
334,'2019/10/29 11:06:31:287',19,0,0,11,468,0,?,?,?
335,'2019/10/29 11:06:31:303',19,0,0,11,468,0,?,?,?
336,'2019/10/29 11:08:53:840',20,0,0,625,14,0,1,?,?
337,'2019/10/29 11:08:53:858',20,0,0,625,11,0,1,?,?
338,'2019/10/29 11:08:53:874',20,0,0,625,11,0,1,?,?
339,'2019/10/29 11:08:53:891',20,0,0,627,12,0,1,?,?
340,'2019/10/29 11:08:53:908',20,0,0,627,12,0,1,?,?
341,'2019/10/29 11:08:53:924',20,0,0,627,14,0,1,?,?
342,'2019/10/29 11:08:53:940',20,0,0,627,14,0,1,?,?
343,'2019/10/29 11:08:53:957',20,0,0,628,14,0,1,?,?
344,'2019/10/29 11:08:53:973',20,0,0,628,14,0,1,?,?
